duration,credit_amount,Class
6,1169,1
48,5951,2
12,2096,1
42,7882,1
24,4870,2
36,9055,1
24,2835,1
36,6948,1
12,3059,1
30,5234,2
12,1295,2
48,4308,2
12,1567,1
24,1199,2
15,1403,1
24,1282,2
24,2424,1
30,8072,1
24,12579,2
24,3430,1
9,2134,1
6,2647,1
10,2241,1
12,1804,1
10,2069,1
6,1374,1
6,426,1
12,409,1
7,2415,1
60,6836,2
18,1913,1
24,4020,1
18,5866,1
12,1264,1
12,1474,1
45,4746,2
48,6110,1
18,2100,2
10,1225,1
9,458,1
30,2333,1
12,1158,1
18,6204,1
30,6187,1
48,6143,2
11,1393,1
36,2299,1
6,1352,1
11,7228,1
12,2073,1
24,2333,1
27,5965,1
12,1262,1
18,3378,1
36,2225,2
6,783,1
12,6468,2
36,9566,1
18,1961,1
36,6229,2
9,1391,1
15,1537,1
36,1953,2
48,14421,2
24,3181,1
27,5190,1
12,2171,1
12,1007,1
36,1819,2
36,2394,1
36,8133,1
7,730,1
8,1164,1
42,5954,1
36,1977,2
12,1526,1
42,3965,2
11,4771,1
54,9436,1
30,3832,1
24,5943,2
15,1213,1
18,1568,1
24,1755,1
10,2315,1
12,1412,1
18,1295,1
36,12612,2
18,2249,1
12,1108,2
12,618,1
12,1409,1
12,797,2
24,3617,1
12,1318,1
54,15945,2
12,2012,1
18,2622,1
36,2337,1
20,7057,1
24,1469,1
36,2323,1
6,932,1
9,1919,1
12,2445,1
24,11938,2
18,6458,2
12,6078,1
24,7721,1
14,1410,1
6,1449,1
15,392,1
18,6260,1
36,7855,2
12,1680,1
48,3578,1
42,7174,2
10,2132,1
33,4281,2
12,2366,1
21,1835,2
24,3868,1
12,1768,1
10,781,1
18,1924,2
12,2121,1
12,701,1
12,639,2
12,1860,1
12,3499,2
48,8487,1
36,6887,2
15,2708,1
18,1984,1
60,10144,1
12,1240,1
27,8613,1
12,766,2
15,2728,1
12,1881,1
6,709,1
36,4795,1
27,3416,1
18,2462,2
21,2288,1
48,3566,1
6,860,1
12,682,1
36,5371,1
18,1582,1
6,1346,1
10,1924,1
36,5848,1
24,7758,1
24,6967,1
12,1282,2
9,1288,1
12,339,1
24,3512,1
6,1898,1
24,2872,1
18,1055,1
15,1262,1
10,7308,1
36,909,1
6,2978,1
18,1131,2
11,1577,1
24,3972,1
24,1935,2
15,950,2
12,763,1
24,2064,2
8,1414,1
21,3414,2
30,7485,2
12,2577,1
6,338,1
12,1963,1
21,571,1
36,9572,2
36,4455,2
21,1647,2
24,3777,1
18,884,2
15,1360,1
9,5129,2
16,1175,1
12,674,2
18,3244,1
24,4591,2
48,3844,2
27,3915,2
6,2108,1
45,3031,2
9,1501,2
6,1382,1
12,951,2
24,2760,1
18,4297,2
9,936,1
12,1168,1
27,5117,1
12,902,2
12,1495,1
30,10623,1
12,1935,1
12,1424,1
24,6568,1
12,1413,1
9,3074,1
36,3835,1
27,5293,2
30,1908,2
36,3342,1
6,932,1
18,3104,1
36,3913,1
24,3021,1
10,1364,1
12,625,1
12,1200,1
12,707,1
24,2978,1
15,4657,1
36,2613,1
48,10961,2
12,7865,2
9,1478,2
24,3149,1
36,4210,2
9,2507,1
12,2141,1
18,866,1
4,1544,1
24,1823,2
6,14555,2
21,2767,2
12,1291,1
30,2522,1
24,915,2
6,1595,1
48,4605,2
12,1185,1
12,3447,1
24,1258,1
12,717,1
6,1204,1
24,1925,1
18,433,2
6,666,1
12,2251,1
30,2150,2
24,4151,1
9,2030,1
60,7418,1
24,2684,1
12,2149,2
15,3812,1
11,1154,1
12,1657,1
24,1603,1
18,5302,1
12,2748,1
10,1231,1
15,802,2
36,6304,1
24,1533,1
14,8978,2
24,999,1
18,2662,1
12,1402,1
48,12169,1
48,3060,2
30,11998,2
9,2697,1
18,2404,1
12,1262,1
6,4611,2
24,1901,1
15,3368,1
12,1574,1
18,1445,1
15,1520,1
24,3878,1
47,10722,1
48,4788,1
48,7582,1
12,1092,1
24,1024,2
12,1076,1
36,9398,2
24,6419,1
42,4796,1
48,7629,1
48,9960,2
12,4675,1
10,1287,1
18,2515,1
21,2745,1
6,672,1
36,3804,2
24,1344,2
10,1038,1
48,10127,2
6,1543,1
30,4811,1
12,727,2
8,1237,2
9,276,1
48,5381,1
24,5511,1
24,3749,1
12,685,2
4,1494,1
36,2746,2
12,708,1
24,4351,1
12,701,1
15,3643,1
30,4249,2
24,1938,2
24,2910,1
18,2659,1
18,1028,1
8,3398,1
12,5801,1
24,1525,1
36,4473,1
6,1068,1
24,6615,1
18,1864,2
60,7408,2
48,11590,2
24,4110,2
6,3384,2
13,2101,1
15,1275,2
24,4169,1
10,1521,1
24,5743,1
21,3599,1
18,3213,1
18,4439,1
10,3949,1
15,1459,1
13,882,1
24,3758,1
6,1743,1
9,1136,2
9,1236,1
9,959,2
18,3229,1
12,6199,2
10,727,1
24,1246,2
12,2331,1
36,4463,2
12,776,1
30,2406,2
18,1239,1
12,3399,1
12,2247,1
6,1766,1
18,2473,2
12,1542,1
18,3850,1
18,3650,1
36,3446,2
18,3001,1
36,3079,1
18,6070,1
10,2146,1
60,13756,1
60,14782,2
48,7685,2
18,2320,1
7,846,1
36,14318,2
6,362,1
20,2212,1
18,12976,2
22,1283,1
12,1330,1
30,4272,1
18,2238,1
18,1126,1
18,7374,1
15,2326,1
9,1449,1
18,1820,1
12,983,1
36,3249,1
6,1957,1
9,2406,1
39,11760,1
12,2578,1
36,2348,1
12,1223,2
24,1516,1
18,1473,1
18,1887,1
24,8648,2
14,802,1
18,2899,1
24,2039,2
24,2197,1
15,1053,1
24,3235,1
12,939,2
24,1967,1
33,7253,1
12,2292,2
10,1597,1
24,1381,2
36,5842,1
12,2579,2
18,8471,1
21,2782,1
18,1042,2
15,3186,1
12,2028,1
12,958,1
21,1591,1
12,2762,2
18,2779,1
28,2743,1
18,1149,1
9,1313,1
18,1190,2
5,3448,1
24,11328,2
6,1872,1
24,2058,1
9,2136,1
12,1484,2
6,660,1
24,1287,1
42,3394,1
12,609,2
12,1884,1
12,1620,1
20,2629,1
12,719,2
48,5096,2
9,1244,1
36,1842,2
7,2576,1
12,1424,1
15,1512,2
36,11054,1
6,518,1
12,2759,1
24,2670,1
24,4817,2
24,2679,1
11,3905,1
12,3386,2
6,343,1
18,4594,1
36,3620,1
15,1721,1
12,3017,1
12,754,1
18,1950,1
24,2924,1
24,1659,2
48,7238,1
33,2764,1
24,4679,1
24,3092,2
6,448,2
9,654,2
6,1238,1
18,1245,2
18,3114,2
39,2569,1
24,5152,1
12,1037,1
15,1478,1
12,3573,1
24,1201,1
30,3622,1
15,960,1
12,1163,1
6,1209,2
12,3077,1
24,3757,1
10,1418,1
6,3518,1
12,1934,1
27,8318,2
6,1237,1
6,368,1
12,2122,1
24,2996,2
36,9034,2
24,1585,1
18,1301,1
6,1323,1
24,3123,2
36,5493,1
9,1126,1
24,1216,2
24,1207,2
10,1309,2
15,2360,1
15,6850,2
24,1413,1
39,8588,1
12,759,2
36,4686,1
15,2687,1
12,585,1
24,2255,1
6,609,1
6,1361,1
36,7127,2
6,1203,1
6,700,1
24,5507,1
18,3190,2
48,7119,2
24,3488,1
18,1113,1
26,7966,1
15,1532,1
4,1503,1
36,2302,2
6,662,1
36,2273,1
15,2631,2
12,1503,1
24,1311,1
24,3105,1
21,2319,2
6,1374,1
18,3612,1
48,7763,2
18,3049,1
12,1534,2
24,2032,1
30,6350,2
18,2864,2
12,1255,1
24,1333,2
24,2022,1
24,1552,1
12,626,2
48,8858,1
12,996,1
6,1750,1
48,6999,2
12,1995,1
9,1199,1
12,1331,2
18,2278,2
21,5003,2
24,3552,2
18,1928,2
24,2964,1
24,1546,2
6,683,1
36,12389,2
24,4712,1
24,1553,1
12,1372,2
24,2578,1
48,3979,1
48,6758,2
24,3234,2
30,5954,1
24,5433,1
15,806,1
9,1082,1
15,2788,1
12,2930,1
24,1927,1
36,2820,2
24,937,1
18,1056,2
12,3124,1
9,1388,1
36,2384,2
12,2133,1
18,2039,2
9,2799,1
12,1289,1
18,1217,2
12,2246,2
12,385,1
24,1965,1
21,1572,1
24,2718,2
24,1358,2
6,931,2
24,1442,2
24,4241,2
18,2775,2
24,3863,1
7,2329,1
9,918,2
24,1837,2
36,3349,2
10,1275,1
24,2828,1
24,4526,1
36,2671,2
18,2051,1
15,1300,1
12,741,2
10,1240,2
21,3357,1
24,3632,1
18,1808,2
48,12204,1
60,9157,1
6,3676,1
30,3441,2
12,640,1
21,3652,1
18,1530,2
48,3914,2
12,1858,1
18,2600,2
15,1979,1
6,2116,1
9,1437,2
42,4042,1
9,3832,1
24,3660,1
18,1553,2
15,1444,1
9,1980,2
24,1355,2
12,1393,1
24,1376,1
60,15653,1
12,1493,1
42,4370,2
18,750,2
15,1308,1
15,4623,2
24,1851,1
18,1880,1
36,7980,2
30,4583,1
12,1386,2
24,947,2
12,684,2
48,7476,1
12,1922,2
24,2303,2
36,8086,2
24,2346,1
14,3973,1
12,888,2
48,10222,1
30,4221,1
18,6361,1
12,1297,1
12,900,2
21,2241,1
6,1050,1
6,1047,1
24,6314,1
30,3496,1
48,3609,1
12,4843,2
30,3017,1
24,4139,1
36,5742,1
60,10366,1
6,2080,1
21,2580,2
30,4530,1
24,5150,1
72,5595,2
24,2384,1
18,1453,1
6,1538,1
12,2279,1
15,1478,1
24,5103,1
36,9857,1
60,6527,1
10,1347,1
36,2862,1
9,2753,1
12,3651,1
15,975,1
15,2631,1
24,2896,1
6,4716,1
24,2284,1
6,1236,1
12,1103,1
12,926,1
18,1800,1
15,1905,1
12,1123,2
48,6331,2
24,1377,1
30,2503,1
27,2528,1
15,5324,1
48,6560,2
12,2969,2
9,1206,1
9,2118,1
18,629,1
6,1198,2
21,2476,1
9,1138,1
60,14027,2
30,7596,1
30,3077,1
18,1505,1
24,3148,1
20,6148,1
9,1337,2
6,433,2
12,1228,2
9,790,1
27,2570,2
6,250,1
15,1316,1
18,1882,2
48,6416,2
24,1275,1
24,6403,1
24,1987,2
8,760,1
24,2603,1
4,3380,1
36,3990,1
24,11560,2
18,4380,1
6,6761,1
30,4280,2
24,2325,1
10,1048,1
21,3160,1
24,2483,1
39,14179,1
13,1797,1
15,2511,1
12,1274,2
21,5248,1
15,3029,1
6,428,1
18,976,2
12,841,1
30,5771,1
12,1555,2
24,1285,2
6,1299,1
15,1271,2
24,1393,1
12,691,2
15,5045,1
18,2124,2
12,2214,1
21,12680,2
24,2463,1
12,1155,1
30,3108,2
10,2901,1
12,3617,1
12,1655,1
24,2812,1
36,8065,2
21,3275,1
24,2223,1
12,1480,1
24,1371,2
36,3535,1
18,3509,1
36,5711,1
18,3872,1
39,4933,2
24,1940,1
12,1410,1
12,836,2
20,6468,1
18,1941,1
22,2675,1
48,2751,1
48,6224,2
40,5998,2
21,1188,2
24,6313,1
6,1221,1
24,2892,1
24,3062,1
9,2301,1
18,7511,2
12,1258,1
24,717,1
9,1549,1
24,1597,1
18,1795,1
20,4272,1
12,976,1
12,7472,1
36,9271,2
6,590,1
12,930,1
42,9283,1
15,1778,2
8,907,1
6,484,1
36,9629,2
48,3051,2
48,3931,2
36,7432,1
6,1338,1
6,1554,1
36,15857,1
18,1345,2
12,1101,1
12,3016,1
36,2712,2
8,731,1
18,3780,1
21,1602,1
18,3966,2
18,4165,2
36,8335,2
48,6681,1
24,2375,1
18,1216,2
45,11816,2
24,5084,1
15,2327,2
12,1082,2
12,886,1
4,601,1
24,2957,1
24,2611,1
36,5179,2
21,2993,1
18,1943,2
24,1559,1
18,3422,1
21,3976,1
18,6761,2
24,1249,1
9,1364,1
12,709,2
20,2235,2
24,4042,1
15,1471,1
18,1442,2
36,10875,1
24,1474,1
10,894,1
15,3343,1
15,3959,2
9,3577,1
24,5804,1
18,2169,2
24,2439,2
27,4526,1
10,2210,2
15,2221,1
18,2389,1
12,3331,1
36,7409,1
12,652,1
36,7678,1
6,1343,1
24,1382,1
15,874,1
12,3590,1
11,1322,1
18,1940,1
36,3595,1
9,1422,2
30,6742,1
24,7814,1
24,9277,1
30,2181,1
18,1098,1
24,4057,2
12,795,2
24,2825,1
48,15672,2
36,6614,1
28,7824,1
27,2442,1
15,1829,1
12,2171,1
36,5800,1
18,1169,1
36,8947,1
21,2606,1
12,1592,1
15,2186,1
18,4153,2
16,2625,2
20,3485,1
36,10477,1
15,1386,1
24,1278,1
12,1107,1
21,3763,1
36,3711,1
15,3594,1
9,3195,1
36,4454,1
24,4736,2
30,2991,1
11,2142,1
24,3161,2
48,18424,2
10,2848,1
6,14896,2
24,2359,2
24,3345,2
18,1817,1
48,12749,1
9,1366,2
12,2002,1
24,6872,2
12,697,2
18,1049,1
48,10297,2
30,1867,1
12,1344,1
24,1747,1
9,1670,2
9,1224,1
12,522,1
12,1498,1
30,1919,2
9,745,2
6,2063,1
60,6288,2
24,6842,1
12,3527,1
10,1546,1
24,929,1
4,1455,1
15,1845,1
48,8358,1
24,3349,2
12,2859,1
18,1533,2
24,3621,2
18,3590,1
36,2145,2
24,4113,2
36,10974,2
12,1893,1
24,1231,1
30,3656,1
9,1154,1
28,4006,2
24,3069,1
6,1740,1
21,2353,1
15,3556,1
24,2397,2
6,454,1
30,1715,1
27,2520,2
15,3568,1
42,7166,1
11,3939,1
15,1514,1
24,7393,1
24,1193,2
60,7297,2
30,2831,1
24,1258,1
6,753,1
18,2427,1
24,2538,2
15,1264,2
30,8386,2
48,4844,2
21,2923,1
36,8229,2
24,2028,1
15,1433,1
42,6289,1
13,1409,1
24,6579,1
24,1743,1
12,3565,1
15,1569,1
18,1936,1
36,3959,1
12,2390,1
12,1736,1
30,3857,1
12,804,1
45,1845,2
45,4576,1
